id,title,type,genres,production_countries,imdb_id,imdb_score
ts89326,Persona,SHOW,['drama'],['KR'],tt10027990,6.3
ts223759,Killer Inside: The Mind of Aaron Hernandez,SHOW,"['documentation', 'crime', 'sport']",['US'],tt11475228,6.3
tm452826,Poms,MOVIE,"['comedy', 'drama', 'sport']","['GB', 'US']",tt5125894,6.3
tm928541,Barbie: Princess Adventure,MOVIE,"['animation', 'family']",['US'],tt12767498,6.3
tm858954,Nobody Sleeps in the Woods Tonight,MOVIE,"['horror', 'thriller', 'drama', 'romance', 'fantasy', 'european']",['PL'],tt11240506,6.3
tm845549,The Reason I Jump,MOVIE,"['documentation', 'drama']","['US', 'GB']",tt9098928,6.3
tm432022,Violet Evergarden: The Movie,MOVIE,"['fantasy', 'animation', 'drama', 'romance']",['JP'],tt8652818,6.3
ts192440,Garth Brooks: The Road I'm On,SHOW,"['documentation', 'reality']",['US'],tt10095402,6.3
ts225912,Biohackers,SHOW,"['drama', 'scifi', 'action', 'thriller']",['DE'],tt9849210,6.3
ts93066,The I-Land,SHOW,"['drama', 'scifi', 'reality']",['US'],tt9067020,6.3
tm475783,Jo Koy: Comin’ In Hot,MOVIE,['comedy'],['US'],tt10377036,6.3
ts219561,"The Mind, Explained",SHOW,['documentation'],['US'],tt10810430,6.3
tm452851,The Operative,MOVIE,"['thriller', 'drama', 'action']","['IL', 'US', 'FR', 'DE']",tt8000718,6.3
ts85480,Carole & Tuesday,SHOW,"['scifi', 'drama', 'animation', 'music']",['JP'],tt8107988,6.3
ts89958,Arthdal Chronicles,SHOW,"['drama', 'action', 'fantasy', 'history', 'romance']",['KR'],tt8750956,6.3
ts88485,Green Eggs and Ham,SHOW,"['animation', 'comedy', 'action', 'family', 'drama', 'fantasy', 'romance']",['US'],tt4651448,6.3
ts252856,Challenger: The Final Flight,SHOW,"['documentation', 'history']",['US'],tt12930534,6.3
tm465724,See You Yesterday,MOVIE,"['scifi', 'thriller', 'action', 'crime', 'drama']",['US'],tt8743064,6.3
tm849005,The Willoughbys,MOVIE,"['comedy', 'fantasy', 'animation', 'drama', 'family']",['CA'],tt5206260,6.3
ts225787,Unabomber: In His Own Words,SHOW,"['crime', 'documentation']",['US'],tt11833494,6.3
ts254592,Song Exploder,SHOW,"['documentation', 'music']",['US'],tt13110256,6.3
ts218500,Dragons: Rescue Riders,SHOW,"['action', 'comedy', 'family', 'fantasy', 'animation', 'scifi']",['US'],tt10687134,6.3
tm451512,Close,MOVIE,"['action', 'thriller', 'drama']","['US', 'GB']",tt5316540,6.3
ts224796,The Ghost Bride,SHOW,['drama'],"['TW', 'MY']",tt9690302,6.3
tm369389,The Silence of Others,MOVIE,"['documentation', 'history', 'european']","['US', 'CA', 'FR', 'ES']",tt8099236,6.3
tm933375,Cuties,MOVIE,"['drama', 'european']",['FR'],tt9196192,6.3
tm471922,An Easy Girl,MOVIE,"['comedy', 'drama', 'european']",['FR'],tt9632590,6.3
tm465231,Nate Bargatze: The Tennessee Kid,MOVIE,['comedy'],['US'],tt9861504,6.3
tm922788,The Babysitter: Killer Queen,MOVIE,"['comedy', 'horror']",['US'],tt11024272,6.3
ts87473,7SEEDS,SHOW,"['scifi', 'drama', 'animation', 'romance', 'action', 'horror']",['JP'],tt9348718,6.3
ts89881,Mr. Iglesias,SHOW,['comedy'],['US'],tt8403536,6.3
ts237751,Gameboys,SHOW,"['drama', 'romance']",['PH'],tt12508898,6.3
ts104449,The Liberator,SHOW,"['action', 'drama', 'war', 'animation']",['US'],tt9308682,6.3
tm827501,Tall Girl,MOVIE,"['comedy', 'drama', 'romance', 'family']",['US'],tt9252508,6.3
tm936236,Cadaver,MOVIE,"['thriller', 'horror', 'drama']","['FI', 'NO']",tt11284280,6.3
ts251067,The Baby-Sitters Club,SHOW,"['comedy', 'drama', 'family']",['US'],tt8690518,6.3
ts223344,The Gift,SHOW,"['thriller', 'drama', 'scifi', 'fantasy']",['TR'],tt10075318,6.3
ts214861,Prank Encounters,SHOW,"['reality', 'comedy', 'horror', 'scifi']",['US'],tt10487072,6.3
tm120072,Let It Snow,MOVIE,"['romance', 'comedy']",['US'],tt1950235,6.3
ts93054,Trinkets,SHOW,"['drama', 'comedy', 'crime']",['US'],tt9134194,6.3
tm936396,Holidate,MOVIE,"['romance', 'comedy']",['US'],tt9866072,6.3
tm676311,Sightless,MOVIE,"['drama', 'thriller']",['US'],tt10303430,6.3
tm464351,The Last Thing He Wanted,MOVIE,"['thriller', 'crime', 'drama']","['GB', 'US']",tt7456312,6.3
tm493175,ZZ Top: That Little Ol' Band from Texas,MOVIE,"['music', 'documentation']",['GB'],tt9015306,6.3
ts237513,Ju-On: Origins,SHOW,"['drama', 'horror']",['JP'],tt12313914,6.3
ts87986,Dolly Parton's Heartstrings,SHOW,"['drama', 'music', 'comedy']",['US'],tt8509922,6.3
ts93611,October Faction,SHOW,"['horror', 'scifi', 'drama', 'fantasy']",['US'],tt8826128,6.3
ts85619,Hache,SHOW,"['crime', 'drama', 'thriller']",['ES'],tt8575476,6.3
tm283581,Super Deluxe,MOVIE,"['comedy', 'thriller', 'drama', 'action', 'crime']",['IN'],tt7822432,6.3
tm447439,System Crasher,MOVIE,"['drama', 'european']",['DE'],tt8535968,6.3
tm885775,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,MOVIE,"['comedy', 'scifi', 'romance']",['US'],tt10324166,6.3
ts100359,Medical Police,SHOW,['comedy'],['US'],tt9850952,6.3
ts235862,My Unfamiliar Family,SHOW,['drama'],['KR'],tt12458252,6.3
ts105608,Puerta 7,SHOW,"['crime', 'drama', 'thriller']",['AR'],tt9170386,6.3
ts93482,The Last Kids on Earth,SHOW,"['animation', 'comedy', 'family', 'horror', 'scifi']",['US'],tt8914012,6.3
tm835486,Jenny Slate: Stage Fright,MOVIE,"['comedy', 'reality']",['US'],tt10971520,6.3
ts103360,The Barrier,SHOW,"['scifi', 'fantasy', 'thriller', 'action', 'drama', 'war']",['ES'],tt9460858,6.3
ts236501,Valeria,SHOW,"['comedy', 'drama', 'romance']",['ES'],tt9731288,6.3
tm511940,Lying and Stealing,MOVIE,"['crime', 'drama', 'comedy']",['US'],tt7558302,6.3
tm837756,I'm No Longer Here,MOVIE,['drama'],"['MX', 'US']",tt4323594,6.3
tm460829,Children of the Sea,MOVIE,"['thriller', 'animation', 'fantasy', 'action', 'scifi', 'drama', 'family']",['JP'],tt9850064,6.3
ts106126,The Bonfire of Destiny,SHOW,"['drama', 'history']",['FR'],tt9050352,6.3
tm877456,9to5: The Story of A Movement,MOVIE,"['documentation', 'history']",['US'],tt11753730,6.3
ts190462,Gentefied,SHOW,"['comedy', 'drama']",['US'],tt10037034,6.3
tm459512,To All the Boys: P.S. I Still Love You,MOVIE,"['romance', 'comedy', 'drama']",['US'],tt9354842,6.3
ts225430,Mystic Pop-up Bar,SHOW,"['drama', 'scifi', 'comedy', 'fantasy']",['KR'],tt12246190,6.3
ts218888,BNA,SHOW,"['scifi', 'action', 'animation', 'fantasy']",['JP'],tt12013558,6.3
tm847998,Hubie Halloween,MOVIE,"['horror', 'comedy', 'thriller', 'fantasy']",['US'],tt10682266,6.3
ts88352,Designated Survivor: 60 Days,SHOW,"['thriller', 'war', 'drama', 'crime']",['KR'],tt10340990,6.3
tm931686,Vampires vs. the Bronx,MOVIE,"['comedy', 'horror']",['US'],tt8976576,6.3
ts237096,Trial by Media,SHOW,"['crime', 'documentation']",['US'],tt11963042,6.3
ts83810,Cannon Busters,SHOW,"['scifi', 'action', 'animation', 'fantasy']","['US', 'FR', 'JP']",tt5066664,6.3
tm461366,The Coldest Game,MOVIE,"['thriller', 'history', 'sport', 'european']",['PL'],tt6445414,6.3
tm467299,Anthony Jeselnik: Fire in the Maternity Ward,MOVIE,['comedy'],['US'],tt10050780,6.3
ts254537,"Good Morning, Verônica",SHOW,"['crime', 'drama', 'thriller']",['BR'],tt12987918,6.3
ts86413,AJ and the Queen,SHOW,"['comedy', 'drama']",['US'],tt8404094,6.3
ts252341,Chef's Table: BBQ,SHOW,['documentation'],['US'],tt12917170,6.3
ts90413,Gigantosaurus,SHOW,['animation'],"['FR', 'US']",tt9636800,6.3
ts275111,Rainbow High,SHOW,"['comedy', 'family', 'animation']",['US'],tt13488080,6.3
ts87008,Turn Up Charlie,SHOW,"['comedy', 'drama', 'music']",['GB'],tt8304498,6.3
tm855600,The Stand In,MOVIE,"['comedy', 'drama']",['US'],tt7970348,6.3
tm503508,Earthquake Bird,MOVIE,"['romance', 'thriller', 'crime', 'drama']","['GB', 'JP']",tt8178486,6.3
tm824165,Falling Inn Love,MOVIE,"['romance', 'comedy']",['US'],tt9860752,6.3
tm425698,The Wedding Guest,MOVIE,['thriller'],"['IN', 'GB']",tt7645780,6.3
tm446625,Miles Davis: Birth of the Cool,MOVIE,"['documentation', 'music']",['US'],tt9358200,6.3
ts225716,Family Business,SHOW,"['comedy', 'family']",['FR'],tt10423460,6.3
ts88312,The Eddy,SHOW,"['drama', 'music']","['FR', 'US']",tt7322210,6.3
ts222917,Kevin Hart: Don't F**k This Up,SHOW,['documentation'],['US'],tt11313054,6.3
tm850723,Altered Carbon: Resleeved,MOVIE,"['scifi', 'animation', 'crime', 'drama', 'thriller', 'action']",['JP'],tt9310328,6.3
tm855483,Have a Good Trip: Adventures in Psychedelics,MOVIE,"['documentation', 'comedy']",['US'],tt12133722,6.3
ts101408,The Mess You Leave Behind,SHOW,"['crime', 'drama', 'thriller']",['ES'],tt9731242,6.3
ts189629,"Nisman. The Prosecutor, the President and the Spy",SHOW,"['history', 'thriller', 'documentation', 'crime']",['AR'],tt10291112,6.3
ts215378,Love 101,SHOW,"['drama', 'romance', 'comedy']",['TR'],tt10516352,6.3
tm524282,Invader ZIM: Enter the Florpus,MOVIE,"['drama', 'animation', 'action', 'family', 'fantasy', 'comedy', 'scifi', 'thriller', 'horror']",['US'],tt6739816,6.3
tm857051,Forensic,MOVIE,"['crime', 'thriller']",['IN'],tt10187680,6.3
ts223126,The Confession Killer,SHOW,"['crime', 'documentation']",['US'],tt11307176,6.3
ts90621,Kota Factory,SHOW,"['drama', 'comedy']",['IN'],tt9432978,6.3
tm451548,The Fable,MOVIE,"['comedy', 'action']",['JP'],tt8676426,6.3
tm469008,How High 2,MOVIE,['comedy'],['US'],tt8861802,6.3
tm816038,Violet Evergarden: Eternity and the Auto Memories Doll,MOVIE,"['family', 'animation', 'drama', 'fantasy']",['JP'],tt10477558,6.3
ts236725,Lenox Hill,SHOW,['documentation'],['US'],tt12190580,6.3
tm812916,The Stronghold,MOVIE,"['crime', 'thriller', 'action', 'european']",['FR'],tt10404944,6.3
ts255880,Dream Home Makeover,SHOW,['reality'],['US'],tt13161310,6.3
ts113637,The Alcàsser Murders,SHOW,"['documentation', 'crime']",['ES'],tt8035424,6.3
tm845535,Coded Bias,MOVIE,['documentation'],"['US', 'CN', 'GB']",tt11394170,6.3
tm447159,The Kindness of Strangers,MOVIE,"['drama', 'european']","['US', 'FR', 'SE', 'GB', 'DE', 'DK', 'CA']",tt6515910,6.3
ts89119,The Disappearance of Madeleine McCann,SHOW,"['crime', 'documentation']",['GB'],tt9879074,6.3
ts251617,Connected,SHOW,"['documentation', 'comedy']",['US'],tt12753692,6.3
ts103890,The InBESTigators,SHOW,"['comedy', 'crime', 'family']",['AU'],tt9332962,6.3
tm938793,I Am Woman,MOVIE,"['drama', 'music', 'romance', 'history']",['AU'],tt9185316,6.3
tm897732,Bigfoot Family,MOVIE,"['animation', 'family']","['BE', 'FR']",tt19363230,6.3
tm924991,Death of Me,MOVIE,"['horror', 'thriller']","['US', 'TH']",tt1830643,6.3
ts277126,Black Space,SHOW,"['crime', 'drama', 'thriller']",['IL'],tt13660638,6.3
ts110703,Interior Design Masters,SHOW,['reality'],['GB'],tt8367694,6.3
ts84129,No Good Nick,SHOW,"['comedy', 'family', 'drama']",['US'],tt9039142,6.3
tm893799,Lost Bullet,MOVIE,"['thriller', 'action', 'crime']","['BE', 'FR']",tt10456740,6.3
ts237104,History 101,SHOW,"['documentation', 'history']",['GB'],tt11958648,6.3
